"Marca temporal","¿Qué tipo de contenidos te gustaría que haya en la web de Espacio Paz?  ","¿Qué temas te gustaría que Paz profundice?","  
¿Cómo preferís participar de los contenidos?  ","¿Qué formato te resulta más cómodo o te gustaría consumir?  ","Si hubiera una comunidad o grupo para acompañar los procesos, ¿qué te gustaría que tenga?
(Ej. meditaciones semanales, lives, materiales exclusivos, acompañamiento grupal...)","¿Qué te gustaría que Paz implemente en esta nueva etapa?
(Ej. un curso específico, rituales nuevos, más meditaciones, mentorías, retiros, etc.)","¿Si pudieras elegir, ¿qué experiencias te gustaría que se mantengan o se amplíen?  ","¿Cuánto tiempo solés dedicar a tu bienestar personal o espiritual por semana?  ","¿Qué valor mensual te parecería accesible para una membresía con meditaciones, cursos cortos y rituales exclusivos?  ","¿Querés que te avisemos cuando lancemos la nueva web y los nuevos programas?  ","¿Querés dejarnos alguna sugerencia o idea para Espacio Paz?  "
"2025/10/20 12:43:14 p. m. GMT-3","✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo)","💜 Amor propio y relaciones conscientes;🌙 Propósito de vida y espiritualidad;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🌙 Ejercicios o desafíos semanales;💫 Ritual guiado paso a paso","Meditaciónes semanales, lives, material exclusivo y acompañamiento grupal","Meditaciones para crecimiento espiritual y económico, reprogramar la mente, mentorias, rito útero, curso de canalización, musicoterapia","🌙 Baños de gong presenciales;🌸 Talleres online;🌕 Espacio de membresía mensual;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","🌸 Menos de 1 hora","🌸 Entre 10 y 20 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 12:43:44 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;📖 Materiales descargables (PDF, guías, cuadernos de trabajo)","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;💫 Ritualística y energía femenina;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎧 Audio (meditaciones o clases);💫 Ritual guiado paso a paso","Si todo eso que nombran .","Si","🌸 Talleres online;🌕 Espacio de membresía mensual","🌙 1 a 3 horas","🌕 Entre 20 y 30 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)","Que siga así que amo su trabajo!! "
"2025/10/20 12:46:16 p. m. GMT-3","✨ Meditaciones grabadas;🎥 Clases grabadas con acceso ilimitado","🌸 Clan familiar y transgeneracional;🌙 Propósito de vida y espiritualidad;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎧 Audio (meditaciones o clases);💫 Ritual guiado paso a paso","Meditaciones semanales","Retiros","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales;✨ Mentorías personalizadas","💫 Más de 6 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 12:46:36 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;✨ Meditaciones grabadas","💫Sanación del niño interior;✨ Biodescodificación emocional;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎧 Audio (meditaciones o clases);🌙 Ejercicios o desafíos semanales","Meditaciones semanales ","Meditaciones y retiros ","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales","🌙 1 a 3 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)","Con lo que informan está completo gracias "
"2025/10/20 12:48:11 p. m. GMT-3","✨ Meditaciones grabadas;🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;🌙 Propósito de vida y espiritualidad","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;📖 PDF / Cuaderno de trabajo","Meditaciones. Y no se si por zoom es lo mismo pero el gong","No sé ","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales;🌕 Espacio de membresía mensual","🌙 1 a 3 horas","💜 Menos de 10 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 12:50:03 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);✨ Meditaciones grabadas;🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;🌙 Propósito de vida y espiritualidad;💫 Ritualística y energía femenina","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases);🌙 Ejercicios o desafíos semanales","Meditaciones semanales","Más meditaciones ","🌸 Talleres online","🌸 Menos de 1 hora","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 12:51:12 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;🌙 Propósito de vida y espiritualidad;💫 Ritualística y energía femenina;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases);📖 PDF / Cuaderno de trabajo;🌙 Ejercicios o desafíos semanales;💫 Ritual guiado paso a paso","Acompañamiento grupal","Mentorias, y retiros","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales;✨ Mentorías personalizadas;🌕 Espacio de membresía mensual;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","✨ 3 a 6 horas","🌸 Entre 10 y 20 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 12:51:34 p. m. GMT-3","📖 Materiales descargables (PDF, guías, cuadernos de trabajo)","🌕 Abundancia y merecimiento","🌙 A mi ritmo (videos o materiales grabados)","🎥 Video","Meditaciones","Más meditaciones ","🌙 Baños de gong presenciales","🌸 Menos de 1 hora","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 12:57:41 p. m. GMT-3","💫 Rituales guiados paso a paso;✨ Meditaciones grabadas","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;🌙 Propósito de vida y espiritualidad;💫 Ritualística y energía femenina;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases);📖 PDF / Cuaderno de trabajo;🌙 Ejercicios o desafíos semanales;💫 Ritual guiado paso a paso","Meditaciones ","Retiro ","💫 Retiros o encuentros grupales;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","🌙 1 a 3 horas","🌸 Entre 10 y 20 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 12:58:07 p. m. GMT-3","🌕 Talleres en vivo por Zoom;🎥 Clases grabadas con acceso ilimitado","🌙 Propósito de vida y espiritualidad;","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases)","No se bien, yo soy muy de los presenciales, según el tema supongo","Misma respuesta, no se bien hoy cual me gustaria. Soy de las q si me resuena y puedo hago","🌙 Baños de gong presenciales","🌙 1 a 3 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 1:01:14 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso","💫Sanación del niño interior;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad;🌕 Abundancia y merecimiento","💫 En vivo (talleres o encuentros por Zoom)","💫 Ritual guiado paso a paso","Yo personalmente, necesito más conexión espiritual! ","Más meditaciones, retiros ","💫 Retiros o encuentros grupales;✨ Mentorías personalizadas","🌸 Menos de 1 hora","✨ Más de 30 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 1:05:14 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad;💫 Ritualística y energía femenina;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases)","Acompañamiento grupal","Todos. Pero me gustaría ir a un retiro con Paz ","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales;🌸 Talleres online;✨ Mentorías personalizadas;🌕 Espacio de membresía mensual;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","💫 Más de 6 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 1:05:49 p. m. GMT-3","✨ Meditaciones grabadas","💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional","🌙 A mi ritmo (videos o materiales grabados)","🎧 Audio (meditaciones o clases)","Meditaciones semanales por audio, compartiendo vivencias","Meditaciones y rituales de limpieza energética personas y de espacios fisicos","🌸 Talleres online","🌸 Menos de 1 hora","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)","Gracias por expandir tanta consciencia y luz estoy inmensamente agradecida con el espacio y con la bella Paz "
"2025/10/20 1:10:57 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;📖 PDF / Cuaderno de trabajo;🌙 Ejercicios o desafíos semanales","Meditaciones, acompañamiento ","Mantener el contacto por lo menos una ves al mes por zum ","🌙 Baños de gong presenciales;🌸 Talleres online;✨ Mentorías personalizadas","✨ 3 a 6 horas","🌸 Entre 10 y 20 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 1:17:03 p. m. GMT-3","💫 Rituales guiados paso a paso","🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","💫 Ritual guiado paso a paso","Acompañamiento ","Más encuentros ","💫 Retiros o encuentros grupales","🌙 1 a 3 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 1:17:45 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video","Meditaciones r","Retiros ","💫 Retiros o encuentros grupales;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","🌸 Menos de 1 hora","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)","Toda la suerte para Paz 🙌🏽🙌🏽🙌🏽"
"2025/10/20 1:19:53 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado;","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases);📖 PDF / Cuaderno de trabajo;🌙 Ejercicios o desafíos semanales;💫 Ritual guiado paso a paso","Materiales exclusivos ","Mentorias y retiros ","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","🌙 1 a 3 horas","🌸 Entre 10 y 20 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)","💕✨️"
"2025/10/20 1:21:04 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","📖 PDF / Cuaderno de trabajo;🌙 Ejercicios o desafíos semanales","Meditaciónes ","Retiros, rituales","🌙 Baños de gong presenciales","✨ 3 a 6 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 1:26:43 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad;💫 Ritualística y energía femenina;🌕 Abundancia y merecimiento","🌙 A mi ritmo (videos o materiales grabados)","🎥 Video","Acompañamiento y seguimiento ","Rituales, retiros","💫 Retiros o encuentros grupales;🌸 Talleres online;✨ Mentorías personalizadas","🌙 1 a 3 horas","🌸 Entre 10 y 20 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 1:45:10 p. m. GMT-3","📖 Materiales descargables (PDF, guías, cuadernos de trabajo)","🌸 Clan familiar y transgeneracional","🌙 A mi ritmo (videos o materiales grabados)","🎥 Video;📖 PDF / Cuaderno de trabajo","Materiales","Retiros con naturaleza","💫 Retiros o encuentros grupales;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","🌙 1 a 3 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)","Éxitos! "
"2025/10/20 2:03:42 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);✨ Meditaciones grabadas;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior;💜 Amor propio y relaciones conscientes;🌙 Propósito de vida y espiritualidad;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🌙 Ejercicios o desafíos semanales","Meditaciones semanales","Retirosssss","💫 Retiros o encuentros grupales;🌸 Talleres online;✨ Mentorías personalizadas;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","💫 Más de 6 horas","🌸 Entre 10 y 20 USD","097739961","Estuve pensando en que cada uno llevamos la terapia y el desarrollo personal de formas distintas creo yo. Se me cruzó por la cabeza de que estaría bueno abrir una sección con un foro para compartir (el que quiera) experiencias, problemáticas o lo que fuere y generar un intercambio de ideas, sugerencias, hasta quizás que se arme un grupo de apoyo. Todo esto *si se puede* de forma controlada (de lo contrario puede ser complicado), la idea no es opinar por opinar, justificar o juzgar.  Sino hablar de los usos que les podemos dar a las herramientas que se nos otorgan en cursos y terapia. "
"2025/10/20 2:06:39 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;💫 Ritual guiado paso a paso","Cualquiera de ellos","Reiki en la playa por ejemplo mas actividades al aire libre encuentros presenciales, retiros","💫 Retiros o encuentros grupales;🌸 Talleres online","🌙 1 a 3 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)","Gracias🙏"
"2025/10/20 2:07:54 p. m. GMT-3","💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad;💫 Ritualística y energía femenina;🌕 Abundancia y merecimiento","🌙 A mi ritmo (videos o materiales grabados)","🎧 Audio (meditaciones o clases);🌙 Ejercicios o desafíos semanales;💫 Ritual guiado paso a paso","Meditaciones semanales","Rituales nuevos","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales;🌸 Talleres online;✨ Mentorías personalizadas;🌕 Espacio de membresía mensual;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","💫 Más de 6 horas","🌸 Entre 10 y 20 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)","Me gustaría que compartas cómo hacer una cesión de Reiky que abarque todo lo que una persona necesita recibir. Está en los manuales pero me encantaría escucharte."
"2025/10/20 2:08:19 p. m. GMT-3","💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;📖 Materiales descargables (PDF, guías, cuadernos de trabajo)","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad","🌙 A mi ritmo (videos o materiales grabados)","📖 PDF / Cuaderno de trabajo","Meditacion","Retiros ","🌙 Baños de gong presenciales;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","✨ 3 a 6 horas","🌸 Entre 10 y 20 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 2:11:06 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.)","✨ Biodescodificación emocional","🌙 A mi ritmo (videos o materiales grabados)","📖 PDF / Cuaderno de trabajo","Me gustaría que tenga material pdf videos y la posiblidad de expresarnos como vamos desarrollando el conocimiento. Las dudas, etc.","Cursos sobre terapias de sanación ","✨ Mentorías personalizadas","💫 Más de 6 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
